model,training_population,training_p_noise,training_opponent,training_history_length,training_memory_label,seed,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_partial_obs_vs_cycler_ddc_last3_seed2,,0.0,cycler_ddc,3,last3,2,hard_tft,100,200,0.0,last_n,3,593.0,0.0,2.965,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last3_seed2,,0.0,cycler_ddc,3,last3,2,cycler_ddc,100,200,0.0,last_n,3,458.0,0.0,2.29,0.03,0.97
q_agent_partial_obs_vs_cycler_ddc_last3_seed2,,0.0,cycler_ddc,3,last3,2,cycler_ccd,100,200,0.0,last_n,3,404.0,0.0,2.02,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last3_seed2,,0.0,cycler_ddc,3,last3,2,hard_majo,100,200,0.0,last_n,3,589.0,0.0,2.945,0.9849999999999999,0.015
q_agent_partial_obs_vs_cycler_ddc_last3_seed2,,0.0,cycler_ddc,3,last3,2,soft_majo,100,200,0.0,last_n,3,599.0,0.0,2.995,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last3_seed3,,0.0,cycler_ddc,3,last3,3,tftt,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last3_seed3,,0.0,cycler_ddc,3,last3,3,hard_tft,100,200,0.0,last_n,3,593.0,0.0,2.965,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last3_seed3,,0.0,cycler_ddc,3,last3,3,cycler_ddc,100,200,0.0,last_n,3,460.0,0.0,2.3,0.019999999999999997,0.9800000000000004
q_agent_partial_obs_vs_cycler_ddc_last3_seed3,,0.0,cycler_ddc,3,last3,3,cycler_ccd,100,200,0.0,last_n,3,404.0,0.0,2.02,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last3_seed3,,0.0,cycler_ddc,3,last3,3,hard_majo,100,200,0.0,last_n,3,582.0,0.0,2.91,0.9849999999999999,0.015
q_agent_partial_obs_vs_cycler_ddc_last3_seed3,,0.0,cycler_ddc,3,last3,3,soft_majo,100,200,0.0,last_n,3,599.0,0.0,2.995,0.995,0.004999999999999999
q_agent_partial_obs_vs_hard_majo_last1_seed1,,0.0,hard_majo,1,last1,1,tftt,100,200,0.0,last_n,1,452.0,0.0,2.26,0.23000000000000004,0.7699999999999997
q_agent_partial_obs_vs_hard_majo_last1_seed1,,0.0,hard_majo,1,last1,1,hard_tft,100,200,0.0,last_n,1,195.0,0.0,0.975,0.13,0.87
q_agent_partial_obs_vs_hard_majo_last1_seed1,,0.0,hard_majo,1,last1,1,cycler_ddc,100,200,0.0,last_n,1,404.0,0.0,2.02,0.26,0.7399999999999999
q_agent_partial_obs_vs_hard_majo_last1_seed1,,0.0,hard_majo,1,last1,1,cycler_ccd,100,200,0.0,last_n,1,650.0,0.0,3.25,0.2749999999999999,0.7249999999999995
