model,training_population,training_p_noise,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_prober,100,200,0.0,last_n,3,499.0,0.0,2.495,0.58,0.4200000000000001
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,tft,100,200,0.05,last_n,3,453.9,16.61715980545412,2.2695,0.49595,0.5040499999999999
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,mist,100,200,0.05,last_n,3,450.25,16.804984379641656,2.25125,0.4951499999999999,0.50485
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,tftt,100,200,0.05,last_n,3,624.06,14.692732897592606,3.1203,0.5836,0.4164
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_tft,100,200,0.05,last_n,3,199.14,14.099659570358426,0.9956999999999999,0.2773999999999999,0.7225999999999999
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,generous_tft,100,200,0.05,last_n,3,488.46,17.00906816965586,2.4423,0.5045000000000001,0.49550000000000005
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,alld,100,200,0.05,last_n,3,179.7,9.758585963140357,0.8985,0.2614,0.7385999999999997
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,soft_majo,100,200,0.05,last_n,3,224.4,138.73435046880064,1.122,0.29275,0.7072499999999998
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,hard_majo,100,200,0.05,last_n,3,200.26,100.53940719936637,1.0012999999999999,0.27825,0.7217499999999998
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,joss,100,200,0.05,last_n,3,414.42,18.60708467224245,2.0721000000000003,0.47845,0.52155
q_agent_population_exploitative_pnoise0p05_seed2,exploitative,0.05,soft_joss,100,200,0.05,last_n,3,436.17,18.655323636967548,2.18085,0.4873500000000001,0.5126499999999998
